designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
466507,466507 (2014 FK33),20.82,0.1822027706,0.4074177807,0.1597722468,0.3800642644455284,32.0868864164,123,0
467309,467309 (1996 AW1),19.92,0.2757750529,0.6166517648,0.0376964619,0.09539353854210525,19.3333619418,19,1
467963,467963 (2012 JT17),18.75,0.4726666672,1.0569147985,0.1095334653,0.1376698035,14.656221355,3,0
468452,468452 (2003 SD170),19.19,0.385971268,0.8630579925,0.1512052357,0.29280788768571425,13.2116779462,14,0
468583,468583 (2007 LS),17.99,0.6707411893,1.4998228946,0.0679485834,0.12401179640909094,19.6010263473,11,0
468681,468681 (2009 MZ6),20.5,0.2111324448,0.4721064988,0.2620343129,0.3416832225307692,4.6783635223,13,0
458418,458418 (2011 AM12),19.5,0.3346223745,0.7482383761,0.0132634371,0.10079978097777777,26.6924168174,9,1
458436,458436 (2011 AL52),17.45,0.8601119401,1.9232687664,0.0776443158,0.11424847337499999,12.8957673697,4,1
459386,459386 (2012 KJ11),17.05,1.0340819954,2.312277636,0.189769849,0.193942452225,27.1316692651,4,0
461365,461365 (2000 JF1),19.32,0.3635423218,0.8129053443,0.2154039195,0.3363699963571429,13.8935150314,14,0
461501,461501 (2003 FT3),18.68,0.4881518917,1.0915408131,0.1775337233,0.18407676576666665,6.1456742822,3,0
462959,462959 (2011 DU),21.08,0.1616422833,0.3614431336,0.0183223057,0.1039058358166667,15.4758871439,36,1
463380,463380 (2013 BY45),19.02,0.4174024334,0.933340215,0.3060709813,0.378553078125,18.0516902592,12,0
463387,463387 (2013 CT82),18.44,0.5451989071,1.2191018176,0.0188546101,0.08864874967142856,20.4822771605,7,1
466053,466053 (2011 QF23),19.09,0.4041615334,0.9037326626,0.1831694082,0.1875415519,14.1295130007,4,0
466130,466130 (2012 FZ23),18.25,0.5950520786,1.330576898,0.0186679738,0.27004284603749995,44.963168042,16,1
466508,466508 (2014 GY48),18.72,0.4792421155,1.071617948,0.0399800843,0.2525797050125,29.9867108057,24,1
467317,467317 (2000 QW7),19.82,0.2887719308,0.6457136672,0.0316549228,0.08129402572727272,10.113073619,11,1
467352,467352 (2003 KZ18),21.34,0.1434019235,0.320656449,0.1585810115,0.17262775215882353,15.5575917848,17,0
467835,467835 (2010 SS3),21.02,0.1661709017,0.3715694322,0.385100199,0.4453438943000001,15.4507341222,27,0
468117,468117 (2014 ED),19.18,0.3877528304,0.8670416872,0.3709611571,0.41016616294166663,28.1581726104,60,0
468741,468741 (2010 VM1),20.19,0.2435314063,0.5445527791,0.1764386627,0.180864461175,5.2126455097,4,0
469219,469219 Kamo`oalewa (2016 HO3),24.31,0.0365220357,0.0816657545,0.0831352507,0.14137324485137429,8.3502484957,473,0
469513,469513 (2003 QR79),20.87,0.1780553292,0.3981438198,0.072138345,0.2860554066385714,23.4775410109,70,0
469896,469896 (2005 WC1),20.66,0.1961349444,0.4385710684,0.020241982,0.26656957183870966,30.5127216583,62,1
458116,458116 (2010 DA),20.29,0.2325706875,0.5200438667,0.0144981004,0.319620917061,35.1510463326,100,1
458375,458375 (2010 WY8),21.32,0.1447288051,0.3236234466,0.2331208362,0.35390295530746263,6.8058418196,67,0
459119,459119 (2012 BJ134),18.2,0.6089126221,1.3615700154,0.1798324667,0.342927971565,41.045790283,20,0
459200,459200 (2012 DK61),21.08,0.1616422833,0.3614431336,0.1014209347,0.3390508468281819,13.4403526171,110,0
459451,459451 (2012 WG32),17.59,0.8064082768,1.8031837245,0.082286487,0.10710709336666667,17.1976991155,6,0
459462,459462 (2013 AY52),19.9,0.2783267681,0.6223575734,0.0745771292,0.1306722169,21.366819961,25,0
462238,462238 (2008 CN1),20.66,0.1961349444,0.4385710684,0.0336494187,0.3329567804702129,24.1629400463,188,1
462329,462329 (2008 JZ30),18.47,0.5377184977,1.2023751136,0.4589642899,0.48129535853333333,13.9202251583,6,0
462775,462775 (2010 GY6),19.38,0.3536347843,0.7907514169,0.0919425702,0.132270943725,15.3660973168,12,0
463257,463257 (2012 GG1),18.54,0.5206609142,1.1642331974,0.1315479642,0.15553451234444446,6.8767347422,9,0
